Label,LISI,Method
Batch,1.4432932504950853,JIVE
Cluster,1.7971066976310077,JIVE
Batch,1.8842753980672864,JIVE
Cluster,1.0283195311940698,JIVE
Batch,1.5159335535943086,JIVE
Cluster,1.2431951745762129,JIVE
Batch,1.0317612632021493,JIVE
Cluster,1.2082747910450482,JIVE
Batch,1.118822845776763,JIVE
Cluster,2.650790349104969,JIVE
Batch,1.0316828414993808,JIVE
Cluster,1.6836513077721658,JIVE
Batch,1.0491003950479723,JIVE
Cluster,1.0790500508317675,JIVE
Batch,1.1619197795440217,JIVE
Cluster,1.5235405767406733,JIVE
Batch,1.187655837186733,JIVE
Cluster,1.3199105409636553,JIVE
Batch,1.2815039225370375,JIVE
Cluster,2.4580726580935526,JIVE
Batch,1.160179815745273,JIVE
Cluster,2.2579123627469397,JIVE
Batch,1.9566781043838817,JIVE
Cluster,1.9206894241514425,JIVE
Batch,1.9213042667418978,JIVE
Cluster,1.2560195681951027,JIVE
Batch,1.2910659293659552,JIVE
Cluster,2.1956033100288983,JIVE
Batch,1.253024902751107,JIVE
Cluster,3.1460027081574466,JIVE
Batch,1.6239170663058062,JIVE
Cluster,1.012186357092994,JIVE
Batch,1.020197650767367,JIVE
Cluster,1.244515673989848,JIVE
Batch,1.0254217301009114,JIVE
Cluster,1.2741856647943974,JIVE
Batch,1.1300261527745756,JIVE
Cluster,1.1315434700403573,JIVE
Batch,1.0935290631745205,JIVE
Cluster,1.4633343202879974,JIVE
Batch,1.0045773647120824,JIVE
Cluster,1.1970540501651352,JIVE
Batch,1.0187625218868577,JIVE
Cluster,1.1493963836183165,JIVE
Batch,1.5472423437067417,JIVE
Cluster,3.199963321919932,JIVE
Batch,1.1109470933178267,JIVE
Cluster,1.9038546378415109,JIVE
Batch,1.0232654046346414,JIVE
Cluster,1.3401471360260466,JIVE
Batch,1.1055024978582857,JIVE
Cluster,1.2341106839605496,JIVE
Batch,1.084720205335487,JIVE
Cluster,1.2023883085742268,JIVE
Batch,1.5372521312210645,JIVE
Cluster,2.2373037365552757,JIVE
Batch,1.9786353300089967,JIVE
Cluster,2.453835396989932,JIVE
Batch,1.3088618411821642,JIVE
Cluster,1.1309915292402046,JIVE
Batch,1.5857760639060376,JIVE
Cluster,2.0212323164801176,JIVE
Batch,1.2730156463652813,JIVE
Cluster,1.517735891705756,JIVE
Batch,1.0982683626853371,JIVE
Cluster,2.319037372954131,JIVE
Batch,1.0093989503339005,JIVE
Cluster,1.1778176933510045,JIVE
Batch,1.0297761489296922,JIVE
Cluster,1.4440658186597437,JIVE
Batch,1.5838846975673972,JIVE
Cluster,2.275197333303984,JIVE
Batch,1.153882656535981,JIVE
Cluster,1.486342196250034,JIVE
Batch,1.1204056583667137,JIVE
Cluster,2.8469087229918206,JIVE
Batch,1.0750642215278234,JIVE
Cluster,2.545516680800469,JIVE
Batch,1.841323137774747,JIVE
Cluster,2.7768887851410886,JIVE
Batch,1.5732425983731069,JIVE
Cluster,1.7634892716229427,JIVE
Batch,1.514860158388297,JIVE
Cluster,2.3894644076513454,JIVE
Batch,1.0921021211807251,JIVE
Cluster,2.2926894907452993,JIVE
Batch,1.0486855980140761,JIVE
Cluster,3.694085250408615,JIVE
Batch,1.0140129707712529,JIVE
Cluster,1.5114692676462818,JIVE
Batch,1.794327305706838,JIVE
Cluster,2.0220883592645134,JIVE
Batch,1.0482812792117675,JIVE
Cluster,2.8047546044893537,JIVE
Batch,1.9747688479369585,JIVE
